BridgeProcessName,BridgeProcessDescription,BridgeProcessIntendedApplication,BridgeProcessDatasetOwner,BridgeProcessDataDocumentor,InputName,InputUnit,InputAmount,OutputName,OutputUnit,OutputAmount
Bridge_CDD_to_USEEIO_Diesel_graders_175 < hp <= 300,This process links an input in a CDD process to a provider from USEEIO,NA,USEPA,Danny Hage,Construction machinery; at manufacturer,USD,500000,Diesel graders; 175 < hp <= 300,Item(s),1
Bridge_CDD_to_USEEIO_Diesel_off-highway trucks_175 < hp <= 300,This process links an input in a CDD process to a provider from USEEIO,NA,USEPA,Danny Hage,Construction machinery; at manufacturer,USD,456000,Diesel off-highway trucks; 175 < hp <= 300,Item(s),1
Bridge_CDD_to_USEEIO_Diesel_off-highway trucks_300 < hp <= 600,This process links an input in a CDD process to a provider from USEEIO,NA,USEPA,Danny Hage,Construction machinery; at manufacturer,USD,760000,Diesel off-highway trucks; 300 < hp <= 600,Item(s),1
Bridge_CDD_to_USEEIO_Diesel_terminaltractors_300 < hp <= 600,This process links an input in a CDD process to a provider from USEEIO,NA,USEPA,Danny Hage,Construction machinery; at manufacturer,USD,675000,Diesel terminal tractors; 300 < hp <= 600,Item(s),1
Bridge_CDD_to_USEEIO_Diesel_terminaltractors_175 < hp <= 300,This process links an input in a CDD process to a provider from USEEIO,NA,USEPA,Danny Hage,Construction machinery; at manufacturer,USD,338000,Diesel terminal tractors; 175 < hp <= 300,Item(s),1
Bridge_CDD_to_USEEIO_Diesel_crushing/proc.equipment_600 < hp <= 750,This process links an input in a CDD process to a provider from USEEIO,NA,USEPA,Danny Hage,Construction machinery; at manufacturer,USD,1012500,Diesel crushing/proc. equipment; 600 < hp <= 750,Item(s),1
Bridge_CDD_to_USEEIO_Diesel_excavators_100 < hp <= 175,This process links an input in a CDD process to a provider from USEEIO,NA,USEPA,Danny Hage,Construction machinery; at manufacturer,USD,210000,Diesel excavators; 100 < hp <= 175,Item(s),1
Bridge_CDD_to_USEEIO_Diesel_excavators_75 < hp <= 100,This process links an input in a CDD process to a provider from USEEIO,NA,USEPA,Danny Hage,Construction machinery; at manufacturer,USD,132000,Diesel excavators; 75 < hp <= 100,Item(s),1
Bridge_CDD_to_USEEIO_Diesel_rubbertireloaders_300 < hp <= 600,This process links an input in a CDD process to a provider from USEEIO,NA,USEPA,Danny Hage,Construction machinery; at manufacturer,USD,675000,Diesel rubber tire loaders; 300 < hp <= 600,Item(s),1
Bridge_CDD_to_USEEIO_Diesel_rubbertireloaders_40 < hp <= 50,This process links an input in a CDD process to a provider from USEEIO,NA,USEPA,Danny Hage,Construction machinery; at manufacturer,USD,67500,Diesel rubber tire loaders; 40 < hp <= 50,Item(s),1
Bridge_CDD_to_USEEIO_Diesel_rubbertireloaders_50 < hp <= 75,This process links an input in a CDD process to a provider from USEEIO,NA,USEPA,Danny Hage,Construction machinery; at manufacturer,USD,94500,Diesel rubber tire loaders; 50 < hp <= 75,Item(s),1
Bridge_CDD_to_USEEIO_Diesel_skidsteerloaders_50 < hp <= 75,This process links an input in a CDD process to a provider from USEEIO,NA,USEPA,Danny Hage,Construction machinery; at manufacturer,USD,94500,Diesel skidsteer loaders; 50 < hp <= 75,Item(s),1
Bridge_CDD_to_USEEIO_Diesel_tractors/loaders/backhoes_100 < hp <= 175,This process links an input in a CDD process to a provider from USEEIO,NA,USEPA,Danny Hage,Construction machinery; at manufacturer,USD,207000,Diesel tractors/loaders/backhoes; 100 < hp <= 175,Item(s),1
Bridge_CDD_to_USEEIO_Diesel_sweepers/scrubbers_50 < hp <= 75,This process links an input in a CDD process to a provider from USEEIO,NA,USEPA,Danny Hage,Construction machinery; at manufacturer,USD,94500,Diesel sweepers/scrubbers; 50 < hp <= 75,Item(s),1
Bridge_CDD_to_USEEIO_Diesel_otherindustequip_11 < hp <= 16,This process links an input in a CDD process to a provider from USEEIO,NA,USEPA,Danny Hage,Construction machinery; at manufacturer,USD,21000,Diesel other general industrial equipment; 11 < hp <= 16,Item(s),1
Bridge_CDD_to_USEEIO_Diesel_otherindustequip_50 < hp <= 75,This process links an input in a CDD process to a provider from USEEIO,NA,USEPA,Danny Hage,Construction machinery; at manufacturer,USD,94500,Diesel other general industrial equipment; 50 < hp <= 75,Item(s),1
Bridge_CDD_to_USEEIO_Diesel_otherindustequip_75 < hp <= 100,This process links an input in a CDD process to a provider from USEEIO,NA,USEPA,Danny Hage,Construction machinery; at manufacturer,USD,132000,Diesel other general industrial equipment; 75 < hp <= 100,Item(s),1
Bridge_CDD_to_USEEIO_Diesel_otherindustequip_100 < hp <= 175,This process links an input in a CDD process to a provider from USEEIO,NA,USEPA,Danny Hage,Construction machinery; at manufacturer,USD,202500,Diesel other general industrial equipment; 100 < hp <= 175,Item(s),1
Bridge_CDD_to_USEEIO_Diesel_otherindustequip_600 < hp <= 750,This process links an input in a CDD process to a provider from USEEIO,NA,USEPA,Danny Hage,Construction machinery; at manufacturer,USD,1012500,Diesel other general industrial equipment; 600 < hp <= 750,Item(s),1
Bridge_CDD_to_USEEIO_Diesel_othermathandequip_1000 < hp <= 1200,This process links an input in a CDD process to a provider from USEEIO,NA,USEPA,Danny Hage,Construction machinery; at manufacturer,USD,1650000,Diesel other material handling equipment; 1000 < hp <= 1200,Item(s),1
Bridge_CDD_to_USLCI_compressed_naturalgas_dispensed,This process links an input in a CDD process to a provider from USLCI,NA,USEPA,Danny Hage,"Natural gas, processed, at plant",m3,1.356,"compressed natural gas, dispensed",kg,1
Bridge_CDD_to_USLCI_diesel_dispensed,This process links an input in a CDD process to a provider from USLCI,NA,USEPA,Danny Hage,"Diesel, at refinery",m3,0.0012,"diesel, dispensed at pump",kg,1
Bridge_CDD_to_USLCI_gasoline_dispensed,This process links an input in a CDD process to a provider from USLCI,NA,USEPA,Danny Hage,"Gasoline, at refinery",m3,0.0014,"gasoline, dispensed at pump",kg,1
Bridge_CDD_to_USLCI_LPG_dispensed,This process links an input in a CDD process to a provider from USLCI,NA,USEPA,Danny Hage,"Liquefied petroleum gas, at refinery",m3,0.0018,"liquefied petroleum gas, dispensed",kg,1
Bridge_CDD_to_USLCI_Waste transport_localroad_unpaved,This process links an input in a CDD process to a provider from USLCI,NA,USEPA,Danny Hage,"Transport, single unit truck, diesel powered",t*km,1,Waste transport; at local road; unpaved,t*km,1
